cfg	 operation	 errors	 total_duration	 total_throughput	 duration_min	 duration_avg	 duration_max	 duration_99th-ile	 ttfb_min	 ttfb_avg	 ttfb_max	 ttfb_99th-ile	 numClients	 numSamples	 objectSize	 
10c_10ko_16kb.json	 "Write"	 0	 182.110075	 0.857998	 0.010087	 0.173134	 20.315044	 0.121201	 0.010087	 0.173133	 20.315044	 0.121201	 10	 10000	 0.015625	 
10c_10ko_16kb.json	 "Read"	 0	 71.821720	 2.175526	 0.008942	 0.071764	 0.205525	 0.145356	 0.007983	 0.040001	 0.165474	 0.110527	 10	 10000	 0.015625	 
10c_10ko_16mb.json	 "Write"	 0	 404.380433	 395.667018	 0.150991	 0.404242	 2.313502	 1.213241	 0.150990	 0.404241	 2.313501	 1.213241	 10	 10000	 16.000000	 
10c_10ko_16mb.json	 "Read"	 0	 216.843390	 737.859706	 0.038945	 0.216756	 0.881516	 0.412197	 0.008188	 0.070138	 0.257338	 0.218248	 10	 10000	 16.000000	 
10c_10ko_1kb.json	 "Write"	 0	 52.647371	 0.185491	 0.010074	 0.052585	 0.202473	 0.127144	 0.010074	 0.052585	 0.202473	 0.127144	 10	 10000	 0.000977	 
10c_10ko_1kb.json	 "Read"	 0	 45.486275	 0.214694	 0.009640	 0.045413	 0.155040	 0.118427	 0.009613	 0.045367	 0.154930	 0.118401	 10	 10000	 0.000977	 
10c_10ko_1mb.json	 "Write"	 0	 75.188426	 132.999193	 0.016788	 0.075120	 0.250824	 0.168091	 0.016788	 0.075120	 0.250824	 0.168091	 10	 10000	 1.000000	 
10c_10ko_1mb.json	 "Read"	 0	 75.764630	 131.987710	 0.008330	 0.075707	 0.200093	 0.153973	 0.006495	 0.039249	 0.150788	 0.107683	 10	 10000	 1.000000	 
10c_10ko_256kb.json	 "Write"	 0	 57.471030	 43.500178	 0.010719	 0.057405	 0.184900	 0.134556	 0.010718	 0.057405	 0.184900	 0.134556	 10	 10000	 0.250000	 
10c_10ko_256kb.json	 "Read"	 0	 68.980939	 36.241896	 0.008458	 0.068925	 0.259972	 0.145475	 0.007578	 0.037080	 0.205992	 0.107002	 10	 10000	 0.250000	 
10c_10ko_256mb.json	 "Write"	 0	 6535.614756	 391.699954	 2.100720	 6.531809	 31.554461	 20.140296	 2.100720	 6.531809	 31.554460	 20.140295	 10	 10000	 256.000000	 
10c_10ko_256mb.json	 "Read"	 0	 1630.292582	 1570.270286	 0.477640	 1.629714	 5.446258	 2.936544	 0.025946	 0.094621	 1.963972	 0.434314	 10	 10000	 256.000000	 
15c_10ko_16kb.json	 "Write"	 0	 135.064475	 1.156855	 0.009619	 0.185497	 20.334445	 0.142829	 0.009618	 0.185497	 20.334445	 0.142829	 15	 10000	 0.015625	 
15c_10ko_16kb.json	 "Read"	 0	 50.884292	 3.070692	 0.008475	 0.076195	 0.217398	 0.151180	 0.007416	 0.047497	 0.188634	 0.120351	 15	 10000	 0.015625	 
15c_10ko_16mb.json	 "Write"	 0	 421.740556	 379.380161	 0.386623	 0.632182	 2.143763	 1.219617	 0.386622	 0.632182	 2.143762	 1.219617	 15	 10000	 16.000000	 
15c_10ko_16mb.json	 "Read"	 0	 190.063861	 841.822317	 0.038488	 0.284974	 0.876511	 0.557705	 0.008211	 0.087271	 0.607963	 0.287651	 15	 10000	 16.000000	 
15c_10ko_1kb.json	 "Write"	 0	 42.586714	 0.229312	 0.010946	 0.063790	 0.493366	 0.149475	 0.010946	 0.063789	 0.493365	 0.149475	 15	 10000	 0.000977	 
15c_10ko_1kb.json	 "Read"	 0	 36.543500	 0.267233	 0.010847	 0.054739	 0.171837	 0.127987	 0.010826	 0.054680	 0.171771	 0.127889	 15	 10000	 0.000977	 
