0
smc73-m02: Generating in-memory sample data...
smc73-m02: Done (2.092778743s)
smc73-m02: Running Write test...
smc73-m02: operation Write(1) completed in 1.50s|ServiceUnavailable: Reduce your request rate
smc73-m02: 	status code: 503, request id: , host id: 
smc73-m02: operation Write(2) completed in 9.74s|%!s(<nil>)
smc73-m02: operation Write(3) completed in 9.83s|%!s(<nil>)
smc73-m02: operation Write(4) completed in 10.40s|%!s(<nil>)
smc73-m02: operation Write(5) completed in 11.99s|%!s(<nil>)
smc73-m02: operation Write(6) completed in 14.40s|%!s(<nil>)
smc73-m02: operation Write(7) completed in 15.15s|%!s(<nil>)
smc73-m02: operation Write(8) completed in 15.29s|%!s(<nil>)
smc73-m02: operation Write(9) completed in 14.15s|%!s(<nil>)
smc73-m02: operation Write(10) completed in 14.74s|%!s(<nil>)
smc73-m02: operation Write(11) completed in 14.75s|%!s(<nil>)
smc73-m02: operation Write(12) completed in 14.75s|%!s(<nil>)
smc73-m02: operation Write(13) completed in 15.41s|%!s(<nil>)
smc73-m02: operation Write(14) completed in 14.25s|%!s(<nil>)
smc73-m02: operation Write(15) completed in 14.85s|%!s(<nil>)
smc73-m02: operation Write(16) completed in 14.86s|%!s(<nil>)
smc73-m02: operation Write(17) completed in 14.88s|%!s(<nil>)
smc73-m02: operation Write(18) completed in 15.51s|%!s(<nil>)
smc73-m02: operation Write(19) completed in 15.58s|%!s(<nil>)
smc73-m02: operation Write(20) completed in 14.98s|%!s(<nil>)
smc73-m02: operation Write(21) completed in 15.59s|%!s(<nil>)
smc73-m02: operation Write(22) completed in 15.59s|%!s(<nil>)
smc73-m02: operation Write(23) completed in 14.49s|%!s(<nil>)
smc73-m02: operation Write(24) completed in 15.65s|%!s(<nil>)
smc73-m02: operation Write(25) completed in 15.66s|%!s(<nil>)
smc73-m02: operation Write(26) completed in 15.73s|%!s(<nil>)
smc73-m02: operation Write(27) completed in 15.12s|%!s(<nil>)
smc73-m02: operation Write(28) completed in 15.13s|%!s(<nil>)
smc73-m02: operation Write(29) completed in 15.17s|%!s(<nil>)
smc73-m02: operation Write(30) completed in 15.80s|%!s(<nil>)
smc73-m02: operation Write(31) completed in 15.18s|%!s(<nil>)
smc73-m02: operation Write(32) completed in 15.80s|%!s(<nil>)
smc73-m02: operation Write(33) completed in 15.80s|%!s(<nil>)
smc73-m02: operation Write(34) completed in 15.84s|%!s(<nil>)
smc73-m02: operation Write(35) completed in 15.86s|%!s(<nil>)
smc73-m02: operation Write(36) completed in 15.92s|%!s(<nil>)
smc73-m02: operation Write(37) completed in 15.97s|%!s(<nil>)
smc73-m02: operation Write(38) completed in 15.36s|%!s(<nil>)
smc73-m02: operation Write(39) completed in 15.36s|%!s(<nil>)
smc73-m02: operation Write(40) completed in 15.36s|%!s(<nil>)
smc73-m02: operation Write(41) completed in 16.07s|%!s(<nil>)
smc73-m02: operation Write(42) completed in 15.59s|%!s(<nil>)
smc73-m02: operation Write(43) completed in 15.05s|%!s(<nil>)
smc73-m02: operation Write(44) completed in 15.10s|%!s(<nil>)
smc73-m02: operation Write(45) completed in 15.11s|%!s(<nil>)
smc73-m02: operation Write(46) completed in 15.66s|%!s(<nil>)
smc73-m02: operation Write(47) completed in 16.39s|%!s(<nil>)
smc73-m02: operation Write(48) completed in 16.39s|%!s(<nil>)
smc73-m02: operation Write(49) completed in 16.51s|%!s(<nil>)
smc73-m02: operation Write(50) completed in 15.34s|%!s(<nil>)
smc73-m02: operation Write(51) completed in 15.41s|%!s(<nil>)
smc73-m02: operation Write(52) completed in 15.42s|%!s(<nil>)
smc73-m02: operation Write(53) completed in 16.70s|%!s(<nil>)
smc73-m02: operation Write(54) completed in 16.09s|%!s(<nil>)
smc73-m02: operation Write(55) completed in 16.20s|%!s(<nil>)
smc73-m02: operation Write(56) completed in 15.66s|%!s(<nil>)
smc73-m02: operation Write(57) completed in 15.72s|%!s(<nil>)
smc73-m02: operation Write(58) completed in 15.84s|%!s(<nil>)
smc73-m02: operation Write(59) completed in 15.84s|%!s(<nil>)
smc73-m02: operation Write(60) completed in 15.85s|%!s(<nil>)
smc73-m02: operation Write(61) completed in 16.50s|%!s(<nil>)
smc73-m02: operation Write(62) completed in 16.70s|%!s(<nil>)
smc73-m02: operation Write(63) completed in 17.79s|%!s(<nil>)
smc73-m02: operation Write(64) completed in 18.38s|%!s(<nil>)
smc73-m02: Running Read test...
smc73-m02: operation Read(1) completed in 0.10s|NoSuchKey: The specified key does not exist.
smc73-m02: 	status code: 404, request id: 830ee723-8fcc-4931-b2a8-076eaf55a54b, host id: 
smc73-m02: operation Read(2) completed in 1.45s|%!s(<nil>)
smc73-m02: operation Read(3) completed in 1.47s|%!s(<nil>)
smc73-m02: operation Read(4) completed in 1.56s|%!s(<nil>)
smc73-m02: operation Read(5) completed in 1.66s|%!s(<nil>)
smc73-m02: operation Read(6) completed in 2.04s|%!s(<nil>)
smc73-m02: operation Read(7) completed in 2.16s|%!s(<nil>)
smc73-m02: operation Read(8) completed in 14.71s|%!s(<nil>)
smc73-m02: operation Read(9) completed in 14.78s|%!s(<nil>)
smc73-m02: operation Read(10) completed in 14.81s|%!s(<nil>)
smc73-m02: operation Read(11) completed in 15.14s|%!s(<nil>)
smc73-m02: operation Read(12) completed in 15.65s|%!s(<nil>)
smc73-m02: operation Read(13) completed in 15.75s|%!s(<nil>)
smc73-m02: operation Read(14) completed in 15.87s|%!s(<nil>)
smc73-m02: operation Read(15) completed in 15.93s|%!s(<nil>)
smc73-m02: operation Read(16) completed in 15.96s|%!s(<nil>)
smc73-m02: operation Read(17) completed in 15.99s|%!s(<nil>)
smc73-m02: operation Read(18) completed in 16.05s|%!s(<nil>)
smc73-m02: operation Read(19) completed in 16.11s|%!s(<nil>)
smc73-m02: operation Read(20) completed in 16.24s|%!s(<nil>)
smc73-m02: operation Read(21) completed in 16.24s|%!s(<nil>)
smc73-m02: operation Read(22) completed in 16.24s|%!s(<nil>)
smc73-m02: operation Read(23) completed in 16.26s|%!s(<nil>)
smc73-m02: operation Read(24) completed in 16.27s|%!s(<nil>)
smc73-m02: operation Read(25) completed in 16.28s|%!s(<nil>)
smc73-m02: operation Read(26) completed in 16.31s|%!s(<nil>)
smc73-m02: operation Read(27) completed in 16.31s|%!s(<nil>)
smc73-m02: operation Read(28) completed in 16.35s|%!s(<nil>)
smc73-m02: operation Read(29) completed in 16.35s|%!s(<nil>)
smc73-m02: operation Read(30) completed in 16.37s|%!s(<nil>)
smc73-m02: operation Read(31) completed in 16.37s|%!s(<nil>)
